Code,Laterality,Contrast,XR#Views,description,modality,bodyRegion
RM00682,N/A,N/A,1,IR KIDNEY BIOPSY WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00683,N/A,N/A,1,IR LIVER BIOPSY WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00684,N/A,N/A,1,IR LUNG BIOPSY WITH IMAGING GUIDANCE,IR,CHEST
RM00685,N/A,N/A,1,IR MEDIASTINAL BIOPSY WITH IMAGING GUIDANCE,IR,CHEST
RM00686,N/A,N/A,1,IR MUSCLE BIOPSY WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00687,N/A,N/A,1,IR PANCREAS BIOPSY WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00688,N/A,N/A,1,IR PLEURAL BIOPSY WITH IMAGING GUIDANCE,IR,CHEST
RM00689,N/A,N/A,1,IR PROSTATE BIOPSY WITH IMAGING GUIDANCE,IR,PELVIS
RM00690,N/A,N/A,1,IR SOFT TISSUE BIOPSY WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00691,N/A,N/A,1,IR THYROID BIOPSY WITH IMAGING GUIDANCE,IR,NECK
RM00692,N/A,N/A,1,IR ABDOMEN BIOPSY WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00693,N/A,N/A,1,IR BONE BIOPSY WITH IMAGING GUIDANCE,IR,ENTIRE BODY
RM00694,N/A,N/A,1,IR NECK OR CHEST BIOPSY WITH IMAGING GUIDANCE,IR,CHEST/NECK
RM00695,N/A,N/A,1,IR CLIP PLACEMENT WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00696,N/A,N/A,1,IR PLEURAL DRAINAGE WITH IMAGING GUIDANCE,IR,CHEST
RM00697,N/A,N/A,1,IR ABDOMEN DRAINAGE WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00698,N/A,N/A,1,IR ANKLE INJECTION WITH IMAGING GUIDANCE,IR,ANKLE
RM00699,N/A,N/A,1,IR HIP INJECTION WITH IMAGING GUIDANCE,IR,HIP
RM00700,N/A,N/A,1,IR KNEE INJECTION WITH IMAGING GUIDANCE,IR,KNEE
RM00701,N/A,N/A,1,IR SHOULDER INJECTION WITH IMAGING GUIDANCE,IR,SHOULDER
RM00702,N/A,N/A,1,IR TEMPOROMANDIBULAR JOINT INJECTION WITH IMAGING GUIDANCE,IR,FACE
RM00703,N/A,N/A,1,IR TENDON INJECTION WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00704,N/A,N/A,1,IR WRIST INJECTION WITH IMAGING GUIDANCE,IR,WRIST
RM00705,N/A,N/A,1,IR PERICARDIOCENTESIS WITH IMAGING GUIDANCE,IR,CHEST
RM00706,N/A,N/A,1,IR BONE RADIOFREQUENCY ABLATION WITH IMAGING GUIDANCE,IR,ENTIRE BODY
RM00707,N/A,N/A,1,IR PRE-OPERATIVE CLIP PLACEMENT WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00708,N/A,N/A,1,IR CYST ASPIRATION WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00709,N/A,N/A,1,IR BONE ASPIRATION WITH IMAGING GUIDANCE,IR,ENTIRE BODY
RM00710,N/A,N/A,1,IR KIDNEY CYST ASPIRATION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00711,N/A,N/A,1,IR LYMPH NODE ASPIRATION WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00712,N/A,N/A,1,IR LYMPH NODE BIOPSY WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00713,N/A,N/A,1,IR CERVICAL SPINE PUNCTURE CSF DRAINAGE WITH IMAGING GUIDANCE THERAPEUTIC,IR,CERVICAL SPINE
RM00714,N/A,N/A,1,IR ARTHROCENTESIS WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
